0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75
-0.0764478,-0.709682,0.905641,-0.0764025,-0.567761,0.859244,-0.343725,-0.58392,0.833467,-0.688544,-0.403936,0.883494,-0.472834,-0.191029,0.871788,0.190809,-0.556779,0.767979,0.54458,-0.382158,0.86672,0.286024,-0.196358,0.851409,-0.0762985,-0.0325471,0.664652,-0.248884,-0.0325797,0.614537,-0.29219,0.415528,0.806907,-0.352411,0.797693,0.770217,0.0790877,-0.0325229,0.60597,0.0526955,0.387985,0.742936,0.0101305,0.759406,0.721021,-0.137098,-0.75343,0.912042,-0.00776494,-0.748064,0.873207,-0.206077,-0.742541,0.652655,0.0701647,-0.731721,0.822608,-0.0163111,0.917887,0.673464,0.052784,0.901653,0.67314,-0.00731641,0.765095,0.527895,-0.32643,0.934216,0.667258,-0.403869,0.912495,0.646369,-0.352075,0.814268,0.558749,0
0.056059,-0.752065,0.951173,0.0560699,-0.611451,0.880107,-0.310114,-0.617274,0.842596,-0.768642,-0.437209,0.885023,-0.459516,-0.218161,0.854701,0.412025,-0.600365,0.792647,0.881992,-0.420507,0.844589,0.560795,-0.2185,0.836337,0.0566962,-0.0609398,0.645559,-0.150237,-0.0610215,0.60881,-0.230793,0.411013,0.826336,-0.321561,0.798513,0.785743,0.308251,-0.0554575,0.619134,0.228271,0.377235,0.787666,0.194116,0.764857,0.707918,-0.0349303,-0.79685,0.913578,0.13676,-0.79687,0.918328,-0.126934,-0.796942,0.726257,0.251284,-0.791305,0.807045,0.136361,0.92222,0.647281,0.228411,0.910875,0.637945,0.148498,0.77591,0.536892,-0.264818,0.950101,0.673118,-0.379143,0.922204,0.610717,-0.310457,0.815521,0.553757,0
-0.144205,-0.298968,0.820416,-0.387018,-0.0356184,0.314331,-0.549074,0.0987761,0.398713,0.386479,0.317321,0.572629,0.539558,-0.427793,0.448596,-0.2072,-0.130965,0.108658,0.134613,0.373198,0.100604,0.422602,0.552726,0.147313,-5,-5,0,-5,-5,0,-5,-5,0,-5,-5,0,-5,-5,0,-5,-5,0,-5,-5,0,-0.270235,-0.411167,0.820579,0.01749,-0.394014,0.84433,-0.531178,-0.444858,0.880382,0.170774,-0.394422,0.492006,0.68312,0.759714,0.0825581,0.692411,0.726182,0.0744703,0.521411,0.585953,0.0503976,0.602554,0.793463,0.064116,-5,-5,0,-0.323521,-0.438792,0.0774658,0
0.0350569,-0.494778,0.910116,0.0131832,-0.267274,0.76209,-0.400328,-0.273044,0.635859,-0.570312,0.214651,0.802455,-0.666139,0.685341,0.719895,0.441284,-0.25087,0.656584,0.574266,0.23123,0.714634,0.640796,0.702133,0.77776,-0.0234286,0.718652,0.613541,-0.252684,0.713084,0.531209,-5,-5,0,-5,-5,0,0.212555,0.735245,0.548737,-5,-5,0,-5,-5,0,-0.0458583,-0.577932,0.893282,0.10932,-0.577814,0.875144,-0.178841,-0.605485,0.818523,0.212258,-0.58316,0.835326,-5,-5,0,-5,-5,0,-5,-5,0,0.507728,0.829504,0.0858543,0.515362,0.823863,0.0648712,-5,-5,0,0
-0.0451753,-0.453189,0.870544,-0.0187827,-0.137289,0.455419,-0.276901,-0.126434,0.329156,-0.271665,0.0261159,0.0942553,-0.313809,-0.0228044,0.513463,0.239279,-0.142755,0.349782,0.523484,-0.235529,0.422452,0.344481,-0.67117,0.0776172,-0.0715137,0.909025,0.124934,-0.266378,0.909018,0.101808,-5,-5,0,-0.498135,-0.605981,0.0655539,0.123322,0.930779,0.11211,-5,-5,0,-5,-5,0,-0.139967,-0.535107,0.891114,0.0282955,-0.551385,0.886341,-0.229693,-0.491406,0.47915,0.118357,-0.496753,0.881924,-5,-5,0,-5,-5,0,-0.545497,-0.627664,0.0519117,-5,-5,0,-5,-5,0,-0.471698,-0.589485,0.0819094,0
-0.167287,-0.671072,0.846474,0.112551,-0.338086,0.767419,-0.247187,-0.321551,0.688531,-0.671118,-0.0154412,0.781535,-0.839131,-0.409196,0.835833,0.464479,-0.370836,0.631355,0.62469,0.109854,0.841643,0.784492,0.470921,0.786163,0.248657,0.459857,0.604139,0.0407298,0.465286,0.581012,0.0488477,0.995421,0.471933,-5,-5,0,0.472503,0.459722,0.499886,0.536336,0.995487,0.20143,-5,-5,0,-0.20687,-0.720554,0.950276,-0.0789109,-0.720567,0.957472,-5,-5,0,0.128713,-0.714937,0.760631,-5,-5,0,-5,-5,0,-5,-5,0,-5,-5,0,-5,-5,0,-5,-5,0,0
0.1613,-0.40867,0.873449,0.130928,-0.239777,0.775721,-0.148106,-0.28885,0.598093,-0.557713,0.0491767,0.689561,-0.326704,-0.283109,0.710627,0.409642,-0.196327,0.622515,0.549063,0.168944,0.714917,0.41395,0.501476,0.791451,0.0608954,0.762953,0.416051,-0.10451,0.762974,0.404878,-5,-5,0,-5,-5,0,0.217895,0.773902,0.333669,-5,-5,0,-5,-5,0,0.126344,-0.517717,0.849588,0.235262,-0.490426,0.880404,0.0350437,-0.555925,0.832232,0.305188,-0.484817,0.862462,-5,-5,0,-5,-5,0,0.130693,0.801213,0.0764607,-5,-5,0,-5,-5,0,-5,-5,0,0
0.232431,-0.425187,0.82111,0.192274,0.0229247,0.627585,-0.254353,-0.0481843,0.401667,-0.781214,0.110044,0.609706,-0.68404,-0.605514,0.624876,0.690629,0.0884395,0.521072,0.770896,0.842445,0.411737,-5,-5,0,-5,-5,0,-5,-5,0,-5,-5,0,-5,-5,0,-5,-5,0,-5,-5,0,-5,-5,0,0.15227,-0.539763,0.87498,0.347215,-0.496527,0.946851,-0.0196577,-0.496206,0.873498,0.478794,-0.419684,0.855032,-5,-5,0,-5,-5,0,-5,-5,0,-5,-5,0,-5,-5,0,0.117828,-0.545202,0.0784646,0
-0.0798849,-0.507087,0.84163,-0.294249,-0.234809,0.779953,-0.515619,-0.3326,0.555989,-0.878612,-0.207291,0.651906,-0.740564,-0.648754,0.725757,-0.0837227,-0.147341,0.694223,-0.000305712,0.294034,0.720558,0.14873,0.577253,0.743355,-0.363145,0.795306,0.357001,-0.497376,0.811586,0.320874,-5,-5,0,-5,-5,0,-0.228864,0.806168,0.352721,-5,-5,0,-5,-5,0,-0.109104,-0.588665,0.905684,-0.0836578,-0.583054,0.0837599,-0.228678,-0.588687,0.906397,-5,-5,0,-0.0798239,-0.496452,0.0953645,-0.0835407,-0.496744,0.0778018,-0.301414,0.84976,0.069443,-5,-5,0,-5,-5,0,-5,-5,0,0
0.0861993,-0.0777175,0.776096,-0.0118875,0.33116,0.503367,-0.374933,0.292966,0.334735,-0.559997,0.718201,0.412697,-0.599943,0.282069,0.551307,0.358278,0.358405,0.312643,0.546986,0.919947,0.315493,0.637698,0.685542,0.362707,-5,-5,0,-5,-5,0,-5,-5,0,-5,-5,0,-5,-5,0,-5,-5,0,-5,-5,0,-0.000936747,-0.279478,0.91066,0.202241,-0.230237,0.858345,-0.12805,-0.284775,0.808252,0.292946,-0.208485,0.825593,-0.712479,-0.464791,0.0904361,-0.705203,-0.453739,0.0973975,-0.705228,-0.459402,0.0507335,-0.698057,-0.470034,0.0615755,-0.701588,-0.464799,0.0626125,-0.0260503,-0.284554,0.0596587,0
